Number,Subject,Gender,Condition,Task,Order,Initial,Item,Vowel,Vowel type,F1,F2,F3,Duration (ms.)
1,3,F,Casual,Map,BA,non,다이아몬드 ,a,mono,829,1227,3102,44.539
2,3,F,Casual,Map,BA,initial,다이아몬드,a,mono,620,1902,2780,145.641
3,3,F,Casual,Map,BA,non,다이아몬드,a,mono,713,808,2732,54.315
4,3,F,Casual,Map,BA,non,다이아몬드,a,mono,749,1223,2601,38.206
5,3,F,Casual,Map,BA,initial,다이아몬드,a,mono,708,1416,2833,48.951
6,3,F,Casual,Map,BA,initial,그러면은,m,mono,515,841,2208,36.338
7,3,F,Casual,Map,BA,non,다이아몬드,a,mono,860,1408,2908,35.627
8,3,F,Casual,Map,BA,initial,그러면은,m,mono,414,1157,2297,31.769
9,3,F,Casual,Map,BA,non,그쪽,m,mono,425,1147,2544,35.826
10,3,F,Casual,Map,BA,non,따라서,a,mono,786,1285,2560,60.682
11,3,F,Casual,Map,BA,non,그려,m,mono,427,1603,2568,60.928
12,3,F,Casual,Map,BA,non,꺽어,v,mono,558,969,2609,58.831
13,3,F,Casual,Map,BA,initial,그래서,m,mono,529,1274,2344,36.544
14,3,F,Casual,Map,BA,initial,그러다,m,mono,498,1553,2512,53.258
15,3,F,Casual,Map,BA,non,둘러서,u,mono,391,1437,2495,52.688
16,3,F,Casual,Map,BA,non,둘러서,u,mono,429,1598,3112,47.497
17,3,F,Casual,Map,BA,non,트럭,m,mono,551,1551,2647,48.605
18,3,F,Casual,Map,BA,non,보여,o,mono,494,1100,1798,25.571
19,3,F,Casual,Map,BA,non,트럭,m,mono,562,1625,2595,73.85
20,3,F,Casual,Map,BA,initial,그러면,m,mono,569,1168,2172,30.601
21,3,F,Casual,Map,BA,non,그걸,m,mono,407,1573,2458,37.401
22,3,F,Casual,Map,BA,non,뚫고,u,mono,490,1403,2496,56.53
23,3,F,Casual,Map,BA,non,트럭,m,mono,510,1185,2889,27.443
24,3,F,Casual,Map,BA,non,뚫고,u,mono,473,1356,2429,41.009
25,3,F,Casual,Map,BA,non,그릴께요,m,mono,415,2196,2263,31.146
26,3,F,Casual,Map,BA,non,따라,a,mono,721,1287,2643,37.73
27,3,F,Casual,Map,BA,non,바나나,a,mono,856,1267,2573,32.617
28,3,F,Casual,Map,BA,initial,바나나,a,mono,807,1308,3277,63.487
29,3,F,Casual,Map,BA,initial,바나나,a,mono,738,1219,3210,50.534
30,3,F,Casual,Map,BA,non,바나나,a,mono,709,1170,3126,59.385
31,3,F,Casual,Map,BA,non,바나나,a,mono,522,988,3068,39.329
32,3,F,Casual,Map,BA,non,그리면서,m,mono,786,1595,2293,27.588
33,3,F,Casual,Map,BA,initial,바나나,a,mono,867,1338,3056,75.442
34,3,F,Casual,Map,BA,non,따라서,a,mono,757,1352,2703,60.416
35,3,F,Casual,Map,BA,initial,금광,m,mono,466,1649,2868,42.079
36,3,F,Casual,Map,BA,initial,바나나,a,mono,795,1335,3159,27.589
37,3,F,Casual,Map,BA,non,바나나,a,mono,813,1153,3070,37.785
38,3,F,Casual,Map,BA,non,까지,a,mono,727,1416,2559,58.109
39,3,F,Casual,Map,BA,non,꺾을께,v,mono,660,1094,2278,73.368
40,3,F,Casual,Map,BA,initial,밧줄,a,mono,765,1306,2867,43.95
41,3,F,Casual,Map,BA,non,가다가,a,mono,857,1157,3223,75.54
42,3,F,Casual,Map,BA,non,밧줄다리를,a,mono,601,1122,2568,35.045
43,3,F,Casual,Map,BA,initial,다리,a,mono,806,1617,2927,59.546
44,3,F,Casual,Map,BA,non,건넜지?,v,mono,477,1024,2994,31.4
45,3,F,Casual,Map,BA,initial,기린이,i,mono,512,2371,3586,62.621
46,3,F,Casual,Map,BA,non,기린,i,mono,463,1244,2365,84.886
47,3,F,Casual,Map,BA,initial,근데,m,mono,457,1741,3841,18.008
48,3,F,Casual,Map,BA,non,기린,i,mono,470,2346,3439,42.932
49,3,F,Casual,Map,BA,initial,기린,i,mono,447,2192,2908,41.934
50,3,F,Casual,Map,BA,non,둘러서,u,mono,457,1426,1996,64.797
51,3,F,Casual,Map,BA,initial,둘러서,u,mono,456,1455,2499,59.905
52,3,F,Casual,Map,BA,non,가면,a,mono,584,949,2145,43.22
53,3,F,Casual,Map,BA,non,더,v,mono,608,935,3609,50.38
54,3,F,Casual,Map,BA,initial,대서양,e,mono,589,2035,2739,101.122
55,3,F,Casual,Map,BA,non,대서양,e,mono,603,1899,2577,90.589
56,3,F,Casual,Map,BA,non,대서양,e,mono,609,1775,2372,124.391
57,4,F,Casual,Map,BA,non,다이아몬드,a,mono,807,1417,2876,55.291
58,4,F,Casual,Map,BA,non,그,m,mono,625,1445,2978,81.568
59,4,F,Casual,Map,BA,non,다이아몬드,a,mono,710,1708,2679,64.003
60,4,F,Casual,Map,BA,non,방향으로,a,mono,636,1451,2616,53.219
61,4,F,Casual,Map,BA,non,계속,e,mono,512,1748,2873,41.704
62,4,F,Casual,Map,BA,non,그리고,m,mono,493,1234,3666,30.117
63,4,F,Casual,Map,BA,initial,그럼,m,mono,557,1490,2753,45.276
64,4,F,Casual,Map,BA,non,가서,a,mono,810,1318,2949,82.796
65,4,F,Casual,Map,BA,non,거기,v,mono,456,1029,2513,34.512
66,4,F,Casual,Map,BA,non,돌아,o,mono,446,1050,2739,57.097
67,4,F,Casual,Map,BA,initial,그,m,mono,512,1339,2824,306.292
68,4,F,Casual,Map,BA,non,거기,v,mono,526,942,2699,46.589
69,4,F,Casual,Map,BA,non,그,m,mono,380,1258,2310,165.745
70,4,F,Casual,Map,BA,non,따라,a,mono,752,1226,2982,85.14
71,4,F,Casual,Map,BA,non,보여,o,mono,444,998,2522,36.969
72,4,F,Casual,Map,BA,initial,그,m,mono,427,1300,2668,62.175
73,4,F,Casual,Map,BA,non,따라,a,mono,754,1214,2956,79.921
74,4,F,Casual,Map,BA,non,담에,a,mono,727,1381,2999,38.16
75,4,F,Casual,Map,BA,non,큰,m,mono,491,1790,3112,30.923
76,4,F,Casual,Map,BA,non,따라,a,mono,737,1259,3098,69.27
77,4,F,Casual,Map,BA,non,담에,a,mono,730,1307,3140,43.588
78,4,F,Casual,Map,BA,non,금광,m,mono,441,1099,2509,42.41
79,4,F,Casual,Map,BA,non,다시,a,mono,575,1619,2836,67.803
80,4,F,Casual,Map,BA,non,따라,a,mono,741,1279,3023,47.958
81,4,F,Casual,Map,BA,non,금강,m,mono,443,929,2673,54.397
82,4,F,Casual,Map,BA,non,방향으로,a,mono,737,1214,2711,51.144
83,4,F,Casual,Map,BA,non,계속,e,mono,491,1701,2683,47.927
84,4,F,Casual,Map,BA,non,그냥,m,mono,378,1623,2981,31.341
85,4,F,Casual,Map,BA,non,다시,a,mono,673,1575,2941,76.996
86,4,F,Casual,Map,BA,non,꺽어져서,v,mono,638,964,2844,60.54
87,4,F,Casual,Map,BA,initial,그,m,mono,582,1375,2770,50.9
88,4,F,Casual,Map,BA,non,방향,a,mono,804,1254,2741,52.892
89,4,F,Casual,Map,BA,non,가도록,a,mono,763,1138,3061,84.629
90,4,F,Casual,Map,BA,non,그,m,mono,424,1157,2628,50.315
91,4,F,Casual,Map,BA,non,방향,a,mono,733,1520,2235,45.93
92,4,F,Casual,Map,BA,initial,큰,m,mono,596,1468,3084,55.394
93,4,F,Casual,Map,BA,initial,큰,m,mono,557,1157,2840,42.882
94,4,F,Casual,Map,BA,non,방향,a,mono,840,1238,2736,52.255
95,4,F,Casual,Map,BA,non,떨어진,v,mono,722,1118,3023,47.725
96,4,F,Casual,Map,BA,non,다시,a,mono,711,1550,2810,117.867
97,4,F,Casual,Map,BA,non,보여,o,mono,431,1175,2530,29.059
98,4,F,Casual,Map,BA,initial,거기,v,mono,558,1013,2718,39.308
99,4,F,Casual,Map,BA,non,다시,a,mono,679,1580,2972,57.807
100,4,F,Casual,Map,BA,non,그려,m,mono,417,1572,2644,37.896
101,4,F,Casual,Map,BA,non,보여,o,mono,424,1009,2647,41.848
102,4,F,Casual,Map,BA,initial,거기,v,mono,554,1073,2637,62.786
103,4,F,Casual,Map,BA,non,그려,m,mono,518,2067,2791,27.046
104,4,F,Casual,Map,BA,non,끝,m,mono,526,1684,2931,32.74
105,6,F,Casual,Map,BA,non,다이아몬드,a,mono,818,1599,2799,69.179
106,6,F,Casual,Map,BA,initial,다이아몬드,a,mono,894,1710,2977,72.4
107,6,F,Casual,Map,BA,non,끼고,i,mono,549,2411,3635,90.159
108,6,F,Casual,Map,BA,initial,다시,a,mono,831,1583,2924,59.066
109,6,F,Casual,Map,BA,initial,그,m,mono,463,1625,2479,105.013
110,6,F,Casual,Map,BA,non,끼고,i,mono,530,2314,3303,62.425
111,6,F,Casual,Map,BA,non,다시,a,mono,898,1685,2676,49.676
112,6,F,Casual,Map,BA,initial,그럼,m,mono,464,1234,2323,64.172
113,6,F,Casual,Map,BA,non,그림,m,mono,445,1517,2528,45.837
